"Number","Time (seconds)","Distance (meters)","Pace (seconds)","Watts","Cal/Hr","Stroke Rate","Heart Rate"
"1","0.8","3.5","129.2","162","858","0","82"
"2","3.4","14.1","129.2","162","858","0","85"
"3","6.5","26.6","118.4","211","1025","20","90"
"4","9.6","39.2","123.7","185","936","20","99"
"5","12.1","49.4","125.0","179","916","21","102"
"6","15.2","61.9","124.4","182","925","21","108"
"7","18.3","74.6","124.3","182","927","20","110"
"8","21.4","87.1","123.7","185","936","21","111"
"9","24.0","97.3","123.7","185","936","21","112"
"10","27.1","109.8","124.4","182","925","21","112"
"11","30.1","122.2","125.1","179","915","20","112"
"12","33.2","134.5","125.6","177","907","20","114"
"13","36.3","146.9","126.2","174","899","20","115"
"14","39.4","159.2","126.1","175","900","20","117"
"15","42.0","169.2","126.1","175","900","20","119"
"16","45.0","181.6","125.0","179","916","20","122"
"17","48.1","194.0","124.8","180","919","20","124"
"18","51.2","206.5","124.9","180","918","20","126"
"19","54.3","219.1","124.3","182","927","20","127"
"20","57.4","231.5","124.8","180","919","20","126"
"21","60.0","241.7","124.8","180","919","20","125"
"22","63.1","254.2","124.2","183","928","20","124"
"23","66.1","266.7","124.4","182","925","20","124"
"24","69.2","279.2","124.1","183","930","21","124"
"25","72.3","291.6","125.8","176","905","20","125"
"26","75.4","303.9","126.2","174","899","20","126"
"27","78.0","313.9","126.2","174","899","20","127"
"28","81.1","326.3","126.1","175","900","20","127"
"29","84.2","338.7","125.7","176","906","20","127"
"30","87.2","351.0","125.9","175","903","20","128"
"31","90.3","363.5","124.9","180","918","20","128"
"32","93.4","375.8","125.9","175","903","19","128"
"33","96.5","388.1","125.7","176","906","20","128"
"34","99.6","400.4","125.2","178","913","20","128"
"35","102.2","410.5","125.2","178","913","20","0"
"36","105.2","423.0","126.1","175","900","21","0"
"37","108.3","435.4","125.5","177","909","20","0"
"38","110.9","445.4","125.5","177","909","20","0"
"39","114.0","457.7","126.1","175","900","20","0"
"40","117.1","470.0","126.7","172","892","20","0"
"41","120.2","482.4","125.8","176","905","20","0"
"42","122.7","492.5","125.8","176","905","20","0"
"43","125.8","504.7","125.4","177","910","20","0"
"44","128.9","517.0","126.7","172","892","20","0"
"45","132.0","529.2","126.8","172","890","20","0"
"46","135.1","541.6","126.4","173","896","20","0"
"47","138.2","554.0","125.4","177","910","20","0"
"48","141.3","566.3","126.4","173","896","20","0"
"49","143.8","576.2","126.4","173","896","20","0"
"50","146.9","588.5","126.4","173","896","20","0"
"51","150.0","600.7","126.3","174","897","20","0"
"52","153.1","613.0","126.4","173","896","20","0"
"53","156.1","625.2","126.7","172","892","20","139"
"54","159.2","637.6","126.5","173","895","20","139"
"55","162.3","649.9","127.2","170","885","20","139"
"56","165.4","662.1","126.4","173","896","20","138"
"57","168.0","672.1","126.4","173","896","20","138"
"58","171.1","684.5","126.3","174","897","20","138"
"59","174.1","696.9","125.0","179","916","20","138"
"60","177.2","709.3","125.4","177","910","20","139"
"61","180.3","721.6","125.4","177","910","20","139"
"62","183.4","733.9","126.1","175","900","20","137"
"63","186.0","744.0","126.1","175","900","20","138"
"64","189.0","756.4","125.2","178","913","20","139"
"65","192.1","768.8","125.1","179","915","20","140"
"66","195.2","780.9","125.5","177","909","20","140"
"67","198.3","793.0","126.8","172","890","19","139"
"68","201.4","805.3","127.1","170","886","19","140"
"69","204.5","817.6","126.6","172","893","19","139"
"70","207.5","829.9","126.1","175","900","19","139"
"71","210.6","842.4","125.1","179","915","20","138"
"72","213.7","854.9","126.1","175","900","20","136"
"73","216.3","864.9","126.1","175","900","20","136"
"74","219.4","877.3","125.6","177","907","20","136"
"75","222.5","889.7","125.8","176","905","20","135"
"76","225.6","902.0","125.8","176","905","20","134"
"77","228.1","912.0","125.8","176","905","20","134"
"78","231.2","924.3","126.4","173","896","20","135"
"79","234.3","936.7","126.0","175","902","20","135"
"80","236.9","946.8","126.0","175","902","20","136"
"81","239.9","958.9","126.3","174","897","20","135"
"82","243.0","971.2","127.0","171","888","20","134"
"83","246.1","983.7","125.6","177","907","20","134"
"84","248.7","993.8","125.6","177","907","20","137"
"85","251.8","1006.2","125.3","178","912","20","140"
"86","254.9","1018.4","125.7","176","906","20","141"
"87","257.9","1030.7","126.1","175","900","20","142"
"88","261.0","1043.2","125.0","179","916","20","141"
"89","264.1","1055.6","125.2","178","913","20","141"
"90","266.7","1065.6","125.2","178","913","20","142"
"91","269.8","1078.0","125.8","176","905","20","143"
"92","272.9","1090.5","125.5","177","909","20","144"
"93","276.0","1103.0","125.2","178","913","20","144"
"94","278.5","1113.0","125.2","178","913","20","144"
"95","281.6","1125.2","125.6","177","907","20","144"
"96","284.7","1137.5","126.8","172","890","20","144"
"97","287.8","1149.9","126.7","172","892","20","145"
"98","290.9","1162.2","125.8","176","905","20","147"
"99","294.0","1174.6","126.6","172","893","20","148"
"100","297.1","1186.7","127.1","170","886","20","146"
"101","300.2","1199.0","127.1","170","886","20","144"
"102","303.2","1211.3","126.2","174","899","20","143"
"103","305.8","1221.2","126.2","174","899","20","142"
"104","308.9","1233.6","125.9","175","903","20","142"
"105","312.0","1245.9","125.9","175","903","20","143"
"106","315.1","1258.2","125.6","177","907","20","145"
"107","318.1","1270.5","125.7","176","906","20","146"
"108","321.2","1282.8","125.8","176","905","20","146"
"109","324.3","1295.0","126.4","173","896","19","146"
"110","327.4","1307.3","126.3","174","897","20","144"
"111","330.0","1317.4","126.3","174","897","20","143"
"112","333.0","1329.7","126.0","175","902","21","144"
"113","336.1","1342.1","125.4","177","910","20","145"
"114","339.2","1354.4","126.2","174","899","20","146"
"115","342.3","1366.8","125.8","176","905","20","146"
"116","345.4","1379.2","126.0","175","902","20","145"
"117","348.0","1389.2","126.0","175","902","20","145"
"118","351.1","1401.5","125.7","176","906","20","145"
"119","354.1","1413.8","126.6","172","893","20","145"
"120","357.3","1426.3","126.6","172","893","20","145"
"121","360.3","1438.6","126.7","172","892","21","144"
"122","362.9","1448.6","126.7","172","892","21","144"
"123","366.0","1460.8","126.7","172","892","20","143"
"124","369.1","1473.1","127.1","170","886","20","143"
"125","372.2","1485.5","126.8","172","890","20","144"
"126","375.3","1497.7","126.5","173","895","20","144"
"127","377.9","1507.7","126.5","173","895","20","145"
"128","380.9","1519.8","127.2","170","885","20","145"
"129","384.0","1531.9","127.6","168","879","20","145"
"130","387.1","1544.1","127.5","169","881","20","144"
"131","390.2","1556.3","127.0","171","888","20","145"
"132","393.3","1568.5","126.9","171","889","20","144"
"133","396.4","1580.6","127.5","169","881","20","145"
"134","399.5","1593.0","126.7","172","892","20","145"
"135","402.5","1605.2","126.5","173","895","20","145"
"136","405.6","1617.5","126.5","173","895","20","144"
"137","408.7","1629.8","126.5","173","895","20","145"
"138","411.8","1642.2","125.9","175","903","20","144"
"139","414.9","1654.4","126.4","173","896","20","145"
"140","417.4","1664.3","126.4","173","896","20","145"
"141","420.5","1676.6","126.8","172","890","20","147"
"142","423.6","1689.0","126.3","174","897","20","146"
"143","426.7","1701.2","125.6","177","907","20","146"
"144","429.8","1713.5","126.3","174","897","20","147"
"145","432.9","1725.7","126.4","173","896","20","146"
"146","435.9","1737.8","127.1","170","886","20","146"
"147","439.0","1750.1","127.3","170","883","20","146"
"148","442.1","1762.4","126.3","174","897","20","145"
"149","445.2","1774.8","126.7","172","892","20","144"
"150","447.8","1784.8","126.7","172","892","20","144"
"151","450.9","1797.0","125.6","177","907","21","144"
"152","453.9","1809.3","126.5","173","895","19","143"
"153","457.0","1821.7","126.6","172","893","20","143"
"154","460.1","1834.0","125.7","176","906","20","144"
"155","463.2","1846.2","126.5","173","895","20","145"
"156","466.3","1858.6","125.1","179","915","20","146"
"157","469.4","1871.0","125.4","177","910","20","146"
"158","472.5","1883.2","126.9","171","889","20","146"
"159","475.0","1893.0","126.9","171","889","20","148"
"160","478.1","1905.2","127.5","169","881","20","149"
"161","481.2","1917.5","126.7","172","892","20","149"
"162","484.3","1929.7","126.8","172","890","20","148"
"163","487.4","1941.8","127.5","169","881","20","148"
"164","490.5","1954.2","126.6","172","893","20","147"
"165","493.6","1966.6","126.1","175","900","20","147"
"166","496.6","1979.0","126.1","175","900","20","148"
"167","499.7","1991.2","126.9","171","889","20","148"
"168","502.8","2003.5","126.9","171","889","20","148"
"169","505.4","2013.5","126.9","171","889","20","148"
"170","508.5","2025.7","125.9","175","903","20","147"
"171","511.6","2038.0","126.0","175","902","20","147"
"172","514.6","2050.4","126.3","174","897","20","146"
"173","517.7","2062.7","126.0","175","902","20","146"
"174","520.8","2075.0","126.8","172","890","20","147"
"175","523.9","2087.3","126.6","172","893","20","148"
"176","526.5","2097.2","126.6","172","893","20","148"
"177","529.6","2109.5","126.7","172","892","20","149"
"178","532.7","2121.8","126.7","172","892","20","150"
"179","535.7","2134.0","126.6","172","893","20","150"
"180","538.8","2146.3","126.8","172","890","20","150"
"181","541.9","2158.5","126.2","174","899","20","150"
"182","544.5","2168.7","126.2","174","899","20","148"
"183","547.6","2181.1","125.0","179","916","20","147"
"184","550.7","2193.7","125.0","179","916","20","148"
"185","553.2","2203.8","125.4","177","910","20","147"
"186","556.3","2216.1","125.4","177","910","21","146"
"187","559.4","2228.5","125.6","177","907","21","143"
"188","562.5","2240.8","125.6","177","907","20","142"
"189","565.0","2250.9","125.6","177","907","20","143"
"190","568.1","2263.3","125.9","175","903","21","143"
"191","570.7","2273.3","126.4","173","896","20","142"
"192","573.8","2285.6","126.2","174","899","21","141"
"193","576.9","2298.0","126.2","174","899","20","141"
"194","580.0","2310.2","126.7","172","892","20","142"
"195","582.5","2320.3","126.7","172","892","20","143"
"196","585.6","2332.7","126.3","174","897","21","143"
"197","588.7","2345.0","125.1","179","915","21","142"
"198","591.8","2357.3","126.6","172","893","20","142"
"199","594.9","2369.5","126.8","172","890","20","143"
"200","597.5","2379.6","126.8","172","890","20","142"
"201","600.5","2391.8","125.8","176","905","20","142"
"202","603.6","2404.0","127.3","170","883","19","143"
"203","606.7","2416.3","126.4","173","896","20","145"
"204","609.8","2428.4","126.4","173","896","19","147"
"205","612.9","2440.7","126.8","172","890","20","148"
"206","616.0","2452.9","126.8","172","890","20","147"
"207","619.1","2465.3","127.4","169","882","20","146"
"208","622.2","2477.5","127.1","170","886","20","146"
"209","625.2","2489.7","127.0","171","888","20","148"
"210","628.3","2501.9","127.6","168","879","20","148"
"211","630.9","2511.8","127.6","168","879","20","147"
"212","634.0","2524.1","127.0","171","888","20","148"
"213","637.1","2536.6","126.5","173","895","20","148"
"214","640.2","2548.9","126.8","172","890","20","146"
"215","642.8","2558.9","126.8","172","890","20","144"
"216","645.9","2571.2","126.4","173","896","20","142"
"217","649.0","2583.6","126.0","175","902","20","141"
"218","652.1","2596.0","126.3","174","897","21","142"
"219","654.6","2606.1","126.3","174","897","21","142"
"220","657.8","2618.5","125.9","175","903","20","141"
"221","660.8","2630.9","126.1","175","900","20","140"
"222","663.4","2640.7","126.1","175","900","20","141"
"223","666.5","2653.0","126.8","172","890","20","141"
"224","669.6","2665.3","127.2","170","885","20","141"
"225","672.7","2677.7","126.4","173","896","20","142"
"226","675.2","2687.8","126.4","173","896","20","142"
"227","678.3","2700.1","125.9","175","903","20","145"
"228","681.4","2712.5","126.1","175","900","20","145"
"229","684.5","2724.9","126.1","175","900","20","145"
"230","687.1","2735.0","126.1","175","900","20","144"
"231","690.2","2747.5","125.3","178","912","20","142"
"232","693.3","2759.8","126.4","173","896","20","144"
"233","695.8","2769.9","126.4","173","896","20","146"
"234","698.9","2782.2","125.9","175","903","21","147"
"235","702.0","2794.7","126.0","175","902","20","145"
"236","705.1","2807.1","125.6","177","907","20","143"
"237","707.7","2817.2","125.6","177","907","20","143"
"238","710.8","2829.8","124.7","180","921","21","143"
"239","713.9","2842.0","125.1","179","915","21","144"
"240","716.9","2854.6","124.2","183","928","21","146"
"241","719.5","2864.9","124.2","183","928","21","146"
"242","722.6","2877.4","123.6","185","937","21","146"
"243","725.7","2889.7","124.8","180","919","20","147"
"244","728.8","2902.0","126.6","172","893","20","148"
"245","731.4","2912.1","126.6","172","893","20","149"
"246","734.5","2924.5","126.0","175","902","21","148"
"247","737.6","2937.0","124.5","181","924","20","146"
"248","740.6","2949.3","125.4","177","910","20","144"
"249","743.7","2961.7","126.1","175","900","20","144"
"250","746.3","2971.7","126.1","175","900","20","144"
"251","749.4","2984.1","125.9","175","903","20","145"
"252","752.5","2996.5","125.6","177","907","20","145"
"253","755.6","3008.8","126.3","174","897","20","146"
"254","758.2","3018.9","126.3","174","897","20","146"
"255","761.3","3031.4","126.1","175","900","21","146"
"256","764.3","3043.7","126.3","174","897","20","146"
"257","766.9","3053.7","126.3","174","897","20","147"
"258","770.0","3065.9","126.9","171","889","20","148"
"259","773.1","3078.3","126.3","174","897","20","148"
"260","776.2","3090.5","127.6","168","879","20","148"
"261","779.3","3102.6","127.5","169","881","19","148"
"262","782.3","3114.9","126.5","173","895","20","148"
"263","784.9","3124.8","126.5","173","895","20","148"
"264","788.0","3137.0","126.6","172","893","20","145"
"265","791.0","3149.2","126.8","172","890","20","144"
"266","794.1","3161.5","126.8","172","890","20","143"
"267","797.2","3173.8","126.7","172","892","20","143"
"268","799.8","3183.8","126.7","172","892","20","144"
"269","802.9","3196.2","125.8","176","905","20","144"
"270","806.0","3208.4","126.4","173","896","20","144"
"271","809.0","3220.7","127.0","171","888","20","144"
"272","811.6","3230.6","127.0","171","888","20","145"
"273","814.7","3242.7","126.7","172","892","20","146"
"274","817.7","3254.9","126.7","172","892","19","148"
"275","820.9","3267.1","127.4","169","882","20","150"
"276","823.9","3279.4","127.4","169","882","20","148"
"277","827.0","3291.6","126.3","174","897","20","145"
"278","829.6","3301.6","127.8","168","877","20","144"
"279","832.7","3313.9","126.6","172","893","20","144"
"280","835.8","3326.2","126.8","172","890","20","144"
"281","838.9","3338.4","126.9","171","889","20","144"
"282","841.9","3350.7","127.1","170","886","20","145"
"283","844.5","3360.6","127.1","170","886","20","143"
"284","847.6","3372.7","127.2","170","885","20","144"
"285","850.7","3384.9","127.7","168","878","20","144"
"286","853.8","3397.1","128.4","165","869","20","144"
"287","856.9","3409.5","126.4","173","896","20","145"
"288","859.4","3419.4","126.4","173","896","20","144"
"289","862.5","3431.6","127.3","170","883","20","142"
"290","865.6","3443.8","127.3","170","883","20","142"
