"Number","Time (seconds)","Distance (meters)","Pace (seconds)","Watts","Cal/Hr","Stroke Rate","Heart Rate"
"1","3.3","13.4","127.9","167","875","0","64"
"2","6.4","25.5","121.7","194","968","21","65"
"3","9.5","37.7","128.1","167","873","19","77"
"4","12.5","50.2","126.4","173","896","20","87"
"5","15.6","62.6","124.8","180","919","20","97"
"6","18.7","75.1","124.3","182","927","19","102"
"7","21.8","87.8","123.6","185","937","20","105"
"8","24.9","100.6","122.2","192","960","20","105"
"9","28.0","113.1","122.9","189","948","20","106"
"10","31.0","125.4","125.9","175","903","19","108"
"11","34.1","137.6","125.9","175","903","19","110"
"12","37.2","149.9","125.7","176","906","20","114"
"13","40.3","162.2","126.2","174","899","20","117"
"14","43.4","174.5","126.2","174","899","20","118"
"15","46.5","186.7","126.1","175","900","20","116"
"16","49.0","196.8","126.1","175","900","20","115"
"17","52.1","209.2","125.2","178","913","20","114"
"18","55.2","221.6","125.1","179","915","20","116"
"19","58.3","233.9","125.8","176","905","19","118"
"20","61.4","246.2","125.9","175","903","20","122"
"21","64.5","258.6","125.3","178","912","20","127"
"22","67.5","271.0","125.3","178","912","20","129"
"23","70.6","283.3","125.3","178","912","20","129"
"24","73.7","295.8","125.3","178","912","20","128"
"25","76.8","308.2","125.3","178","912","20","128"
"26","79.9","320.4","125.6","177","907","19","129"
"27","83.0","332.9","125.0","179","916","20","131"
"28","86.1","345.2","125.9","175","903","20","133"
"29","88.7","355.1","125.9","175","903","20","134"
"30","91.7","367.4","126.3","174","897","20","136"
"31","94.8","379.8","125.9","175","903","20","135"
"32","97.9","392.1","125.5","177","909","20","136"
"33","101.0","404.6","125.6","177","907","20","137"
"34","104.1","416.9","125.5","177","909","20","137"
"35","107.2","429.3","125.4","177","910","20","138"
"36","110.3","441.7","125.8","176","905","20","138"
"37","112.8","451.6","125.8","176","905","20","137"
"38","115.9","463.8","126.6","172","893","20","136"
"39","119.0","476.1","126.6","172","893","20","133"
"40","122.1","488.6","126.1","175","900","20","132"
"41","125.2","500.9","125.9","175","903","20","131"
"42","128.3","513.2","127.1","170","886","20","131"
"43","131.4","525.4","126.6","172","893","20","133"
"44","134.0","535.5","126.6","172","893","20","133"
"45","137.0","547.9","125.6","177","907","20","133"
"46","140.1","560.2","124.9","180","918","20","133"
"47","143.2","572.4","126.8","172","890","20","134"
"48","146.3","584.7","126.8","172","890","20","136"
"49","149.4","597.0","126.7","172","892","20","137"
"50","152.5","609.3","126.2","174","899","20","138"
"51","155.6","621.4","127.0","171","888","19","139"
"52","158.7","633.6","127.2","170","885","19","138"
"53","161.8","646.0","126.4","173","896","19","138"
"54","164.8","658.1","126.5","173","895","20","138"
"55","167.9","670.4","126.8","172","890","20","138"
"56","171.0","682.7","126.6","172","893","20","136"
"57","174.1","695.1","126.1","175","900","20","137"
"58","177.2","707.3","126.0","175","902","20","138"
"59","180.3","719.5","126.3","174","897","19","138"
"60","183.4","731.8","127.0","171","888","20","138"
"61","185.9","741.7","127.0","171","888","20","138"
"62","189.5","756.1","127.2","170","885","19","138"
"63","192.1","766.1","127.2","170","885","19","138"
"64","195.2","778.4","125.9","175","903","20","140"
"65","198.3","790.7","125.0","179","916","19","139"
"66","201.3","803.1","125.6","177","907","19","140"
"67","204.4","815.4","125.5","177","909","20","141"
"68","207.5","827.7","126.0","175","902","19","141"
"69","210.6","840.0","126.1","175","900","20","140"
"70","213.7","852.4","125.8","176","905","20","140"
"71","216.8","864.7","125.9","175","903","19","140"
"72","219.9","877.2","125.8","176","905","20","140"
"73","223.0","889.6","124.9","180","918","20","140"
"74","226.1","901.8","125.2","178","913","20","140"
"75","229.1","914.1","126.7","172","892","20","140"
"76","232.2","926.3","126.4","173","896","20","141"
"77","235.3","938.6","125.7","176","906","20","142"
"78","238.4","950.9","126.1","175","900","20","142"
"79","241.5","963.2","126.4","173","896","19","142"
"80","244.6","975.5","126.3","174","897","19","142"
"81","247.6","987.7","125.8","176","905","19","142"
"82","250.7","1000.2","125.7","176","906","20","143"
"83","253.3","1010.2","125.7","176","906","20","144"
"84","256.4","1022.5","125.9","175","903","20","143"
"85","259.5","1034.8","125.6","177","907","20","142"
"86","262.6","1047.0","126.4","173","896","19","143"
"87","265.6","1059.2","125.9","175","903","20","142"
"88","268.7","1071.4","126.4","173","896","19","143"
