"Number","Time (seconds)","Distance (meters)","Pace (seconds)","Watts","Cal/Hr","Stroke Rate","Heart Rate"
"1","0.8","3.4","129.7","160","852","0","87"
"2","3.4","13.9","129.7","160","852","0","94"
"3","6.5","25.9","120.5","200","988","21","100"
"4","10.1","40.4","127.1","170","886","19","104"
"5","12.7","50.7","127.1","170","886","19","108"
"6","15.7","63.2","122.7","189","952","20","112"
"7","18.8","75.5","124.2","183","928","20","114"
"8","21.9","87.8","125.8","176","905","19","117"
"9","25.0","100.1","126.5","173","895","20","119"
"10","28.6","114.8","125.3","178","912","19","119"
"11","31.7","127.0","126.6","172","893","19","120"
"12","34.8","139.2","126.6","172","893","19","121"
"13","37.9","151.4","126.9","171","889","18","122"
"14","41.0","163.6","125.8","176","905","19","123"
"15","44.1","175.7","126.6","172","893","19","125"
"16","47.7","190.1","127.4","169","882","19","127"
"17","50.7","202.4","126.3","174","897","19","128"
"18","53.8","214.5","126.3","174","897","19","128"
"19","56.9","226.6","126.6","172","893","19","129"
"20","60.0","238.9","127.1","170","886","19","129"
"21","63.1","250.9","126.3","174","897","19","130"
"22","66.7","265.3","128.3","166","870","19","130"
"23","69.8","277.4","127.4","169","882","19","131"
"24","72.8","289.5","127.4","169","882","19","131"
"25","75.9","301.7","126.9","171","889","19","131"
"26","79.0","313.9","127.1","170","886","19","130"
"27","82.1","326.0","126.4","173","896","19","129"
"28","85.2","338.2","127.1","170","886","19","129"
"29","88.3","350.3","127.1","170","886","19","129"
"30","91.4","362.6","127.8","168","877","19","129"
"31","94.4","374.7","126.1","175","900","20","129"
"32","97.5","386.9","126.4","173","896","19","130"
"33","100.6","399.2","127.0","171","888","19","130"
"34","103.7","411.4","125.9","175","903","20","131"
"35","107.3","425.8","127.9","167","875","19","133"
"36","110.4","437.9","127.2","170","885","19","134"
"37","113.5","450.1","126.4","173","896","19","136"
"38","116.6","462.4","126.2","174","899","19","136"
"39","119.6","474.5","126.2","174","899","19","137"
"40","122.7","486.7","127.1","170","886","19","138"
"41","125.8","498.8","127.0","171","888","19","138"
