"Number","Time (seconds)","Distance (meters)","Pace (seconds)","Watts","Cal/Hr","Stroke Rate","Heart Rate"
"1","3.3","13.1","135.1","142","788","0","85"
"2","6.4","25.1","124.2","183","928","22","90"
"3","9.4","37.1","129.2","162","858","19","96"
"4","12.0","47.5","128.1","167","873","20","101"
"5","15.1","60.1","123.9","184","933","22","104"
"6","18.2","72.4","123.9","184","933","20","106"
"7","21.3","84.5","128.2","166","871","21","107"
"8","23.9","94.4","128.2","166","871","21","108"
"9","26.9","106.7","127.4","169","882","20","110"
"10","30.0","119.1","125.9","175","903","21","112"
"11","32.6","129.0","125.9","175","903","21","113"
"12","35.7","141.3","127.0","171","888","20","113"
"13","38.8","153.6","127.0","171","888","21","114"
"14","41.8","165.6","126.7","172","892","20","115"
"15","44.9","177.8","128.2","166","871","20","117"
"16","48.0","189.9","127.8","168","877","20","121"
"17","51.1","202.1","127.9","167","875","19","123"
"18","54.2","214.1","128.9","163","862","19","124"
"19","57.3","226.3","127.6","168","879","20","125"
"20","59.9","236.4","127.6","168","879","20","124"
"21","62.9","248.5","125.6","177","907","20","124"
"22","66.0","260.7","127.2","170","885","19","125"
"23","69.1","273.0","127.7","168","878","20","124"
"24","72.2","285.4","126.6","172","893","20","124"
"25","75.3","297.6","127.6","168","879","20","123"
"26","77.9","307.5","127.6","168","879","20","122"
"27","81.0","319.7","128.0","167","874","20","120"
"28","84.1","331.9","127.4","169","882","20","121"
"29","87.2","343.9","128.9","163","862","20","124"
"30","90.3","355.9","129.3","162","857","20","127"
"31","93.4","368.0","127.6","168","879","20","129"
"32","96.5","380.3","126.9","171","889","19","129"
"33","99.5","392.3","126.9","171","889","19","130"
"34","102.6","404.5","128.5","165","867","19","130"
"35","105.7","416.8","125.9","175","903","20","130"
"36","108.8","429.1","126.7","172","892","20","129"
"37","111.4","439.1","126.7","172","892","20","129"
"38","114.5","451.4","126.9","171","889","20","128"
"39","117.5","463.7","126.6","172","893","20","127"
"40","120.1","473.7","126.7","172","892","21","127"
"41","123.2","485.8","126.8","172","890","21","125"
"42","126.3","498.2","127.0","171","888","20","124"
"43","129.4","510.3","126.9","171","889","20","125"
"44","132.5","522.4","128.1","167","873","20","127"
"45","135.0","532.3","128.1","167","873","20","130"
"46","138.1","544.6","127.7","168","878","20","130"
"47","141.2","557.0","126.5","173","895","21","127"
"48","144.3","569.3","126.5","173","895","20","126"
"49","146.9","579.3","126.5","173","895","20","125"
"50","150.0","591.7","127.7","168","878","21","125"
"51","153.0","603.9","127.4","169","882","20","125"
"52","155.6","613.7","127.4","169","882","20","124"
"53","158.7","625.7","128.8","164","863","20","126"
"54","161.8","637.8","128.5","165","867","20","130"
"55","164.9","650.0","127.8","168","877","20","132"
"56","168.0","662.3","127.8","168","877","20","133"
"57","171.0","674.4","127.5","169","881","20","133"
"58","174.1","686.5","128.4","165","869","20","133"
"59","176.7","696.4","128.4","165","869","20","134"
"60","179.8","708.8","127.1","170","886","21","132"
"61","182.9","721.2","126.3","174","897","20","130"
"62","186.0","733.4","127.8","168","877","19","130"
"63","188.6","743.4","127.8","168","877","19","130"
"64","191.7","755.9","126.9","171","889","21","129"
"65","194.7","768.4","124.8","180","919","21","127"
"66","197.8","780.6","127.1","170","886","19","127"
"67","200.4","790.5","127.1","170","886","19","129"
"68","203.5","802.7","127.5","169","881","20","131"
"69","206.6","814.7","127.8","168","877","20","133"
"70","209.7","826.8","128.0","167","874","20","134"
"71","212.8","838.9","128.6","165","866","19","135"
"72","215.9","851.0","128.2","166","871","20","134"
"73","218.9","862.9","128.1","167","873","19","136"
"74","222.0","875.0","129.3","162","857","19","136"
"75","225.1","887.2","128.4","165","869","20","136"
"76","228.2","899.2","127.1","170","886","19","136"
"77","231.3","911.4","127.8","168","877","19","134"
"78","234.3","923.6","127.1","170","886","20","132"
"79","237.4","935.9","127.7","168","878","20","130"
"80","240.5","948.1","127.5","169","881","20","127"
"81","243.6","960.2","128.3","166","870","20","128"
"82","246.7","972.3","127.9","167","875","20","131"
"83","249.2","982.1","127.9","167","875","20","132"
"84","252.3","994.2","127.7","168","878","20","133"
"85","255.4","1006.4","128.1","167","873","20","134"
"86","258.5","1018.5","127.7","168","878","20","135"
"87","261.6","1030.7","128.2","166","871","20","135"
"88","264.7","1042.9","127.7","168","878","20","134"
"89","267.2","1052.7","127.7","168","878","20","133"
"90","270.3","1064.8","128.0","167","874","20","133"
"91","273.4","1077.1","128.3","166","870","20","133"
"92","276.5","1089.3","127.5","169","881","20","134"
"93","279.6","1101.5","128.0","167","874","20","134"
"94","282.2","1111.3","128.0","167","874","20","133"
"95","285.2","1123.6","127.7","168","878","21","133"
"96","288.3","1135.8","127.3","170","883","20","132"
"97","291.4","1147.9","128.3","166","870","20","132"
"98","294.0","1157.6","128.3","166","870","20","131"
"99","297.1","1169.9","129.0","163","861","20","132"
"100","300.1","1181.9","127.2","170","885","20","134"
"101","303.2","1194.1","127.8","168","877","20","136"
"102","306.3","1206.2","127.1","170","886","20","138"
"103","309.4","1218.4","128.2","166","871","20","138"
"104","312.5","1230.7","127.6","168","879","20","137"
"105","315.6","1242.7","126.7","172","892","20","137"
"106","318.7","1254.8","128.3","166","870","19","137"
"107","321.7","1266.8","128.0","167","874","20","137"
"108","324.8","1279.0","127.7","168","878","19","136"
"109","327.9","1291.3","127.3","170","883","20","136"
"110","331.0","1303.4","126.7","172","892","19","138"
"111","334.1","1315.6","127.0","171","888","20","139"
"112","337.2","1327.9","127.1","170","886","20","138"
"113","340.2","1340.0","126.6","172","893","20","137"
"114","343.3","1352.2","127.7","168","878","19","137"
"115","346.4","1364.4","127.2","170","885","20","138"
"116","349.5","1376.5","126.9","171","889","20","139"
"117","352.6","1388.5","127.8","168","877","19","139"
"118","355.7","1400.8","128.2","166","871","19","140"
"119","358.8","1413.0","127.1","170","886","19","140"
"120","361.8","1425.1","127.1","170","886","19","139"
"121","364.9","1437.2","127.2","170","885","19","140"
"122","368.0","1449.5","127.0","171","888","19","140"
"123","371.1","1461.7","126.8","172","890","19","139"
"124","374.2","1473.8","127.1","170","886","19","139"
"125","377.3","1486.0","127.7","168","878","20","139"
"126","380.3","1498.1","127.0","171","888","20","139"
"127","383.4","1510.3","128.0","167","874","20","139"
"128","386.5","1522.6","126.3","174","897","20","139"
"129","389.1","1532.6","126.3","174","897","20","137"
"130","392.2","1544.8","126.6","172","893","20","135"
"131","395.3","1557.2","126.5","173","895","20","135"
"132","398.3","1569.5","125.4","177","910","21","136"
"133","401.4","1581.8","126.8","172","890","20","136"
"134","404.5","1594.0","127.0","171","888","20","136"
"135","407.1","1604.0","127.0","171","888","20","135"
"136","410.2","1616.4","126.1","175","900","21","134"
"137","413.3","1628.6","126.4","173","896","20","134"
"138","416.4","1640.9","126.7","172","892","20","134"
"139","419.5","1653.2","127.2","170","885","20","134"
"140","422.6","1665.4","127.8","168","877","20","135"
"141","425.1","1675.3","127.8","168","877","20","136"
"142","428.2","1687.6","126.8","172","890","20","136"
"143","431.3","1700.0","127.2","170","885","20","135"
"144","434.4","1712.1","127.2","170","885","20","134"
"145","437.5","1724.2","128.5","165","867","19","135"
"146","440.1","1734.2","128.5","165","867","19","134"
"147","443.1","1746.4","126.8","172","890","20","133"
"148","446.2","1758.5","127.5","169","881","19","135"
"149","449.3","1770.6","127.9","167","875","20","137"
"150","452.4","1782.9","127.6","168","879","20","137"
"151","455.5","1795.1","126.9","171","889","20","136"
"152","458.0","1805.1","126.9","171","889","20","135"
"153","461.1","1817.3","126.6","172","893","20","134"
"154","464.2","1829.3","128.0","167","874","19","135"
"155","467.3","1841.4","128.9","163","862","20","137"
"156","470.4","1853.7","127.1","170","886","20","137"
"157","473.5","1865.9","127.4","169","882","20","138"
"158","476.6","1877.9","127.4","169","882","19","137"
