"Number","Time (seconds)","Distance (meters)","Pace (seconds)","Watts","Cal/Hr","Stroke Rate","Heart Rate"
"1","3.1","12.5","132.1","152","822","0","84"
"2","6.2","24.7","123.5","186","939","22","88"
"3","9.3","37.0","127.0","171","888","20","92"
"4","12.4","49.4","126.5","173","895","20","95"
"5","15.5","61.7","126.5","173","895","20","98"
"6","18.0","71.7","126.5","173","895","20","100"
"7","21.1","84.2","125.0","179","916","20","103"
"8","23.7","94.5","124.8","180","919","21","105"
"9","26.8","107.0","124.5","181","924","21","107"
"10","29.9","119.6","124.7","180","921","20","109"
"11","32.9","132.1","124.1","183","930","21","111"
"12","35.5","142.3","124.1","183","930","21","112"
"13","38.6","154.8","123.8","184","934","20","114"
"14","41.7","167.3","124.6","181","922","20","116"
"15","44.8","179.8","124.8","180","919","20","117"
"16","47.4","190.0","124.8","180","919","20","117"
"17","50.5","202.8","124.6","181","922","21","117"
"18","53.6","215.2","124.3","182","927","20","118"
"19","56.1","225.3","124.3","182","927","20","121"
"20","59.2","237.6","125.9","175","903","20","123"
"21","62.3","250.1","125.7","176","906","20","126"
"22","65.4","262.5","125.5","177","909","21","125"
"23","67.9","272.6","125.5","177","909","21","124"
"24","71.0","284.9","124.9","180","918","20","123"
"25","74.1","297.2","125.5","177","909","20","123"
"26","77.2","309.5","126.1","175","900","20","125"
"27","80.3","322.0","126.0","175","902","20","126"
"28","83.4","334.4","126.0","175","902","20","129"
"29","86.5","346.7","126.4","173","896","20","131"
"30","89.0","356.7","126.4","173","896","20","130"
"31","92.1","369.0","125.6","177","907","20","129"
"32","95.2","381.4","126.2","174","899","20","129"
"33","98.3","393.7","126.4","173","896","20","129"
"34","101.4","406.0","126.3","174","897","20","129"
"35","104.5","418.3","126.3","174","897","20","130"
"36","107.1","428.2","126.3","174","897","20","130"
"37","110.1","440.5","126.7","172","892","20","130"
"38","113.2","452.8","126.5","173","895","20","130"
"39","116.3","465.1","126.9","171","889","20","131"
"40","118.9","475.1","126.9","171","889","20","130"
"41","122.0","487.4","126.4","173","896","21","129"
"42","125.0","499.7","126.9","171","889","20","130"
"43","128.1","512.0","126.3","174","897","20","132"
"44","131.2","524.2","127.4","169","882","20","135"
"45","134.3","536.4","127.5","169","881","20","135"
"46","136.8","546.2","127.5","169","881","20","136"
"47","139.9","558.6","127.1","170","886","20","137"
"48","143.0","570.8","125.2","178","913","21","136"
"49","146.1","583.3","126.6","172","893","19","134"
"50","149.2","595.6","126.4","173","896","20","132"
"51","151.8","605.5","126.4","173","896","20","132"
"52","154.9","617.8","126.7","172","892","20","132"
"53","157.9","630.1","126.2","174","899","20","133"
"54","161.0","642.5","125.8","176","905","20","133"
"55","164.1","654.7","125.9","175","903","20","133"
"56","167.2","666.9","127.0","171","888","20","133"
"57","170.3","679.3","126.2","174","899","20","134"
"58","173.4","691.5","126.3","174","897","20","134"
"59","176.5","703.6","127.4","169","882","19","134"
"60","179.5","715.9","126.3","174","897","20","134"
"61","182.1","725.9","126.3","174","897","20","133"
"62","185.2","738.1","126.1","175","900","20","133"
"63","188.3","750.4","126.4","173","896","20","134"
"64","191.3","762.8","126.1","175","900","20","135"
"65","194.4","775.1","126.5","173","895","20","133"
"66","197.5","787.3","127.5","169","881","20","132"
"67","200.1","797.0","127.5","169","881","20","134"
"68","203.2","809.3","127.9","167","875","20","136"
"69","206.2","821.5","127.0","171","888","20","137"
"70","209.3","833.8","127.0","171","888","20","137"
"71","212.4","846.0","126.2","174","899","20","137"
"72","215.5","858.3","126.5","173","895","20","137"
"73","218.6","870.5","126.7","172","892","20","138"
"74","221.7","882.8","126.7","172","892","20","138"
"75","224.8","895.2","126.3","174","897","20","138"
"76","227.9","907.4","126.9","171","889","20","137"
"77","230.4","917.3","126.9","171","889","20","137"
"78","233.5","929.4","127.3","170","883","20","137"
"79","236.6","941.5","127.8","168","877","20","138"
"80","239.7","953.9","127.8","168","877","20","138"
"81","242.8","966.3","125.5","177","909","20","138"
"82","245.9","978.5","126.5","173","895","20","137"
"83","249.0","990.7","127.3","170","883","19","137"
"84","252.1","1003.1","125.7","176","906","20","138"
"85","254.6","1013.1","125.7","176","906","20","139"
"86","257.7","1025.3","126.2","174","899","20","140"
"87","260.8","1037.5","126.7","172","892","20","140"
"88","263.9","1049.8","126.7","172","892","19","141"
"89","267.0","1062.1","126.4","173","896","20","143"
"90","270.1","1074.5","126.1","175","900","20","142"
"91","273.2","1086.8","126.9","171","889","20","142"
"92","276.2","1099.0","126.5","173","895","20","142"
"93","279.4","1111.2","126.5","173","895","20","141"
"94","282.4","1123.2","127.4","169","882","19","140"
"95","285.5","1135.7","127.6","168","879","19","140"
"96","288.6","1148.0","126.0","175","902","20","141"
"97","291.7","1160.3","126.7","172","892","20","142"
"98","294.8","1172.6","126.0","175","902","20","144"
"99","297.9","1184.8","126.8","172","890","19","144"
"100","301.0","1197.0","127.0","171","888","19","144"
"101","304.1","1209.2","126.1","175","900","20","143"
"102","307.2","1221.5","126.8","172","890","19","143"
"103","309.7","1231.4","126.8","172","890","19","143"
"104","312.8","1243.7","126.8","172","890","20","142"
"105","316.4","1258.1","127.9","167","875","19","142"
"106","319.0","1268.2","127.9","167","875","19","142"
"107","322.1","1280.4","125.6","177","907","20","142"
"108","325.2","1292.7","126.1","175","900","20","141"
"109","328.3","1304.9","126.3","174","897","20","141"
"110","331.3","1317.2","126.6","172","893","19","141"
"111","334.4","1329.5","126.4","173","896","20","142"
"112","337.5","1341.7","126.3","174","897","20","143"
"113","340.6","1354.0","126.5","173","895","20","145"
"114","343.7","1366.3","126.7","172","892","19","145"
"115","346.8","1378.5","126.3","174","897","20","144"
"116","349.9","1390.6","126.3","174","897","20","144"
"117","352.9","1402.7","127.7","168","878","19","143"
"118","356.0","1415.0","127.0","171","888","19","144"
"119","359.1","1427.2","126.5","173","895","19","144"
"120","362.2","1439.4","125.9","175","903","20","143"
"121","365.3","1451.6","127.4","169","882","19","143"
"122","368.4","1463.7","127.1","170","886","20","143"
"123","371.4","1475.9","127.8","168","877","20","142"
"124","374.5","1488.0","127.4","169","882","20","143"
"125","377.6","1500.2","127.6","168","879","19","143"
"126","380.7","1512.6","127.2","170","885","20","143"
"127","383.8","1524.6","126.7","172","892","20","143"
"128","386.9","1536.8","127.4","169","882","19","142"
"129","390.0","1549.2","126.4","173","896","19","142"
"130","393.1","1561.7","125.7","176","906","20","142"
"131","396.2","1574.0","125.5","177","909","20","143"
"132","399.3","1586.3","125.8","176","905","20","143"
"133","402.4","1598.6","126.4","173","896","20","144"
"134","405.4","1610.8","126.2","174","899","20","145"
"135","408.5","1623.1","126.6","172","893","19","145"
"136","411.6","1635.3","126.6","172","893","19","145"
"137","414.7","1647.5","126.5","173","895","20","144"
"138","417.8","1659.8","127.0","171","888","20","144"
"139","420.9","1672.1","127.0","171","888","20","144"
"140","423.4","1682.0","127.0","171","888","20","144"
"141","426.5","1694.2","126.9","171","889","20","144"
"142","429.6","1706.4","127.3","170","883","20","144"
"143","432.7","1718.6","127.3","170","883","20","144"
"144","435.8","1730.7","127.2","170","885","19","144"
"145","438.9","1742.7","127.8","168","877","20","144"
"146","442.0","1755.0","127.7","168","878","19","144"
"147","445.1","1767.3","126.7","172","892","20","143"
"148","448.2","1779.5","126.4","173","896","20","143"
"149","451.2","1791.8","126.7","172","892","19","142"
"150","454.3","1804.2","125.9","175","903","20","142"
"151","457.4","1816.5","126.2","174","899","20","143"
"152","460.5","1828.9","125.8","176","905","20","144"
"153","463.6","1841.2","125.8","176","905","20","145"
"154","466.2","1851.2","125.8","176","905","20","144"
"155","469.2","1863.5","125.5","177","909","20","144"
"156","472.3","1875.9","126.1","175","900","20","144"
"157","475.4","1888.3","125.9","175","903","20","145"
"158","478.5","1900.7","125.9","175","903","20","143"
"159","481.6","1913.1","126.0","175","902","20","142"
"160","484.7","1925.3","126.7","172","892","19","141"
"161","487.3","1935.3","126.7","172","892","19","141"
"162","490.4","1947.7","126.0","175","902","20","141"
"163","493.4","1959.9","125.8","176","905","20","140"
"164","496.5","1972.3","126.3","174","897","20","140"
"165","499.6","1984.6","125.8","176","905","20","141"
"166","502.7","1997.0","125.7","176","906","20","141"
"167","505.3","2007.0","125.7","176","906","20","141"
"168","508.4","2019.4","125.7","176","906","21","141"
"169","511.4","2031.7","126.0","175","902","20","141"
"170","514.5","2044.0","127.0","171","888","20","140"
"171","517.6","2056.2","127.0","171","888","20","140"
"172","520.2","2066.1","127.0","171","888","20","139"
"173","523.3","2078.5","127.4","169","882","20","140"
"174","526.4","2090.9","126.0","175","902","20","142"
"175","529.5","2103.3","126.0","175","902","20","143"
"176","532.0","2113.3","126.0","175","902","20","143"
"177","535.1","2125.6","126.8","172","890","21","142"
"178","538.2","2137.9","126.1","175","900","20","141"
"179","541.3","2150.0","128.0","167","874","19","142"
"180","543.9","2159.9","128.0","167","874","19","142"
"181","546.9","2172.2","126.9","171","889","20","143"
"182","550.0","2184.7","126.2","174","899","20","143"
"183","553.1","2197.1","126.2","174","899","21","141"
"184","555.7","2207.1","126.2","174","899","21","139"
"185","558.8","2219.5","126.2","174","899","21","137"
"186","561.9","2231.8","125.9","175","903","20","138"
"187","565.0","2244.1","127.1","170","886","20","139"
"188","567.5","2254.2","127.1","170","886","20","138"
"189","570.6","2266.6","126.2","174","899","21","136"
"190","573.2","2276.6","126.2","174","899","21","138"
"191","576.3","2288.8","126.0","175","902","21","138"
"192","579.4","2301.2","127.4","169","882","20","139"
"193","582.4","2313.5","126.2","174","899","20","138"
"194","585.0","2323.6","126.2","174","899","20","139"
"195","588.1","2335.9","125.4","177","910","20","139"
"196","591.2","2348.1","126.2","174","899","20","140"
"197","594.3","2360.4","127.0","171","888","20","140"
"198","596.8","2370.4","127.0","171","888","20","140"
"199","599.9","2382.8","126.1","175","900","21","138"
"200","603.0","2395.2","125.7","176","906","20","138"
"201","606.1","2407.6","125.7","176","906","20","139"
"202","608.7","2417.6","125.7","176","906","20","139"
"203","611.8","2429.9","125.8","176","905","20","141"
"204","614.9","2442.4","126.3","174","897","20","143"
"205","617.4","2452.4","126.1","175","900","21","145"
"206","620.5","2464.7","125.8","176","905","21","145"
"207","623.6","2476.9","126.5","173","895","20","144"
"208","626.7","2489.3","126.8","172","890","20","142"
"209","629.8","2501.6","126.4","173","896","20","139"
"210","632.3","2511.5","126.4","173","896","20","138"
"211","635.4","2523.8","126.1","175","900","20","138"
"212","638.5","2536.2","126.8","172","890","21","142"
"213","641.1","2546.3","126.8","172","890","21","143"
"214","644.2","2558.6","126.2","174","899","21","145"
"215","647.2","2571.0","126.0","175","902","20","145"
"216","649.8","2581.2","125.3","178","912","21","145"
"217","652.9","2593.5","125.2","178","913","21","144"
"218","656.0","2605.6","126.2","174","899","19","144"
"219","659.1","2618.0","127.1","170","886","20","144"
"220","662.2","2630.4","126.3","174","897","20","144"
"221","665.3","2642.5","127.0","171","888","20","142"
"222","667.8","2652.7","127.0","171","888","20","142"
"223","670.9","2665.1","125.5","177","909","21","140"
"224","674.0","2677.6","125.2","178","913","21","140"
"225","677.1","2689.8","126.8","172","890","21","141"
"226","679.7","2699.8","126.8","172","890","21","142"
"227","682.8","2712.1","126.7","172","892","20","141"
"228","685.9","2724.7","125.3","178","912","21","139"
"229","688.4","2734.6","125.3","178","912","21","138"
"230","691.5","2746.9","126.1","175","900","20","139"
"231","694.6","2759.2","126.8","172","890","20","140"
"232","697.7","2771.4","126.9","171","889","20","141"
"233","700.8","2783.7","126.6","172","893","20","143"
"234","703.9","2796.0","126.8","172","890","20","145"
"235","707.0","2808.3","126.1","175","900","20","145"
"236","709.5","2818.2","126.1","175","900","20","146"
