"Number","Time (seconds)","Distance (meters)","Pace (seconds)","Watts","Cal/Hr","Stroke Rate","Heart Rate"
"1","3.6","14.3","125.2","178","913","21","91"
"2","6.2","24.3","125.2","178","913","21","94"
"3","9.2","36.6","127.3","170","883","20","99"
"4","12.3","49.1","125.4","177","910","20","107"
"5","15.4","61.4","124.8","180","919","20","110"
"6","18.5","73.8","126.0","175","902","20","113"
"7","21.1","83.8","126.0","175","902","20","114"
"8","24.2","96.2","125.8","176","905","20","114"
"9","27.2","108.4","126.1","175","900","20","113"
"10","30.3","120.6","126.7","172","892","20","114"
"11","33.4","133.0","126.0","175","902","20","115"
"12","36.0","143.1","126.0","175","902","20","116"
"13","39.0","155.5","124.3","182","927","20","120"
"14","42.1","167.9","125.8","176","905","20","122"
"15","45.2","180.2","126.1","175","900","20","122"
"16","48.3","192.4","126.9","171","889","20","122"
"17","50.9","202.4","126.9","171","889","20","124"
"18","54.0","214.6","126.3","174","897","20","126"
"19","57.0","226.7","126.9","171","889","19","127"
"20","60.1","239.2","127.3","170","883","19","129"
"21","63.2","251.4","125.4","177","910","20","131"
"22","66.3","263.7","127.0","171","888","20","131"
"23","69.4","275.8","127.7","168","878","20","132"
"24","72.0","285.8","127.7","168","878","20","132"
"25","75.1","298.1","127.0","171","888","20","133"
"26","78.2","310.5","127.0","171","888","20","133"
"27","80.7","320.5","126.6","172","893","21","132"
"28","83.8","332.8","126.2","174","899","21","131"
"29","86.9","345.1","126.1","175","900","20","131"
"30","90.0","357.3","126.7","172","892","20","131"
"31","93.1","369.4","126.9","171","889","20","132"
"32","96.1","381.6","127.5","169","881","20","132"
"33","99.2","393.9","126.5","173","895","20","134"
"34","102.3","406.0","127.0","171","888","20","136"
"35","105.4","418.3","126.7","172","892","20","136"
"36","108.5","430.6","126.5","173","895","20","136"
"37","111.0","440.5","126.5","173","895","20","135"
"38","114.1","452.7","126.9","171","889","20","135"
"39","117.2","464.8","127.3","170","883","20","136"
"40","120.3","477.1","127.1","170","886","20","138"
"41","123.4","489.3","126.2","174","899","19","138"
"42","126.4","501.5","126.5","173","895","20","137"
"43","129.5","513.9","126.8","172","890","20","135"
"44","132.7","526.3","126.2","174","899","20","134"
"45","135.7","538.5","126.3","174","897","20","133"
"46","138.8","550.8","126.8","172","890","20","132"
"47","141.4","560.7","126.8","172","890","20","132"
"48","144.5","572.7","127.1","170","886","20","133"
"49","147.6","585.0","128.6","165","866","19","134"
