"Number","Time (seconds)","Distance (meters)","Pace (seconds)","Watts","Cal/Hr","Stroke Rate","Heart Rate"
"1","3.5","15.0","118.6","210","1022","21","77"
"2","6.6","27.0","127.9","167","875","19","83"
"3","9.7","39.1","127.9","167","875","19","90"
"4","12.3","49.2","128.7","164","865","19","94"
"5","15.4","61.5","125.0","179","916","21","99"
"6","18.5","73.7","126.8","172","890","19","105"
"7","21.5","85.9","127.2","170","885","20","108"
"8","24.6","98.1","127.0","171","888","20","109"
"9","27.7","110.8","126.4","173","896","20","109"
"10","30.8","123.2","124.1","183","930","20","110"
"11","33.9","135.6","125.2","178","913","20","111"
"12","37.0","147.9","125.7","176","906","19","114"
"13","40.0","160.2","125.4","177","910","20","118"
"14","42.6","170.4","125.4","177","910","20","119"
"15","45.7","182.6","125.5","177","909","20","118"
"16","48.8","194.9","125.9","175","903","20","116"
"17","51.9","207.3","126.6","172","893","20","115"
"18","55.0","219.7","125.0","179","916","20","115"
"19","58.1","232.2","125.1","179","915","20","117"
"20","60.6","242.3","125.1","179","915","20","120"
"21","63.7","254.5","125.1","179","915","20","123"
"22","66.8","266.8","126.6","172","893","20","124"
"23","69.9","279.2","125.8","176","905","20","124"
"24","73.0","291.3","125.8","176","905","19","124"
"25","76.1","303.6","127.5","169","881","20","124"
"26","79.1","315.8","126.1","175","900","20","125"
"27","82.2","328.0","126.7","172","892","20","125"
"28","85.3","340.3","127.4","169","882","20","125"
"29","87.9","350.3","127.4","169","882","20","126"
"30","90.9","362.7","125.9","175","903","20","128"
"31","94.0","375.0","125.2","178","913","20","128"
"32","97.1","387.4","126.4","173","896","20","128"
"33","99.7","397.5","125.4","177","910","20","127"
"34","102.8","409.9","125.1","179","915","21","126"
"35","105.9","422.3","125.4","177","910","21","124"
"36","108.9","434.6","126.9","171","889","20","124"
"37","111.5","444.5","126.9","171","889","20","123"
"38","114.6","456.7","126.6","172","893","20","123"
"39","117.7","469.0","127.7","168","878","20","126"
"40","120.8","481.2","126.8","172","890","20","129"
"41","123.9","493.5","127.0","171","888","20","130"
"42","126.4","503.6","127.0","171","888","20","130"
"43","129.5","515.9","126.1","175","900","20","131"
"44","132.6","528.1","126.4","173","896","20","131"
"45","135.7","540.4","127.6","168","879","21","131"
"46","138.3","550.3","127.6","168","879","21","131"
"47","141.3","562.5","126.7","172","892","20","130"
"48","144.4","574.7","126.6","172","893","20","129"
"49","147.6","587.1","126.8","172","890","20","130"
"50","150.1","597.2","127.1","170","886","20","131"
"51","153.2","609.6","125.9","175","903","21","130"
"52","156.3","622.0","125.9","175","903","21","128"
"53","159.4","634.2","127.8","168","877","20","126"
"54","162.5","646.3","128.8","164","863","20","126"
"55","165.1","656.1","128.8","164","863","20","126"
"56","168.2","668.3","128.2","166","871","20","127"
"57","171.2","680.5","127.5","169","881","20","128"
"58","173.8","690.5","127.5","169","881","20","128"
"59","176.9","702.7","127.2","170","885","21","128"
"60","180.0","715.0","127.2","170","885","21","128"
"61","183.1","727.3","126.7","172","892","20","129"
"62","185.6","737.3","126.7","172","892","20","130"
"63","188.8","749.5","126.3","174","897","20","131"
"64","191.9","761.9","127.8","168","877","20","132"
"65","195.0","774.1","127.6","168","879","20","132"
"66","197.5","784.1","127.6","168","879","20","132"
"67","200.6","796.3","126.9","171","889","21","132"
"68","203.7","808.6","126.9","171","889","21","132"
"69","206.3","818.6","126.9","171","889","21","133"
"70","209.3","830.7","127.4","169","882","20","134"
"71","212.4","842.9","128.0","167","874","20","133"
"72","215.5","855.1","127.7","168","878","20","130"
"73","218.6","867.4","127.6","168","879","20","130"
"74","221.2","877.3","127.6","168","879","20","131"
"75","224.3","889.5","126.8","172","890","21","134"
"76","227.4","901.7","127.5","169","881","20","135"
"77","230.4","913.9","127.4","169","882","20","135"
