"Number","Time (seconds)","Distance (meters)","Pace (seconds)","Watts","Cal/Hr","Stroke Rate","Heart Rate"
"1","2.9","12.5","125.2","178","913","0","80"
"2","6.0","25.2","115.7","226","1077","24","83"
"3","9.1","37.7","122.4","191","956","20","90"
"4","12.2","50.3","124.3","182","927","20","97"
"5","15.3","62.7","124.3","182","927","20","101"
"6","18.3","75.1","124.4","182","925","20","103"
"7","21.4","87.6","124.4","182","925","20","103"
"8","24.5","100.1","124.9","180","918","20","102"
"9","27.1","110.0","124.9","180","918","20","102"
"10","30.2","122.5","125.7","176","906","20","106"
"11","33.3","134.9","124.8","180","919","20","110"
"12","36.3","147.5","123.6","185","937","20","112"
"13","39.4","159.9","123.6","185","937","20","112"
"14","42.6","172.2","124.8","180","919","19","113"
"15","45.6","184.5","126.6","172","893","20","116"
"16","48.2","194.6","126.6","172","893","20","116"
"17","51.3","207.1","124.1","183","930","21","116"
"18","54.4","219.6","123.6","185","937","20","116"
"19","57.4","232.0","124.7","180","921","19","117"
"20","61.1","246.7","125.3","178","912","19","119"
"21","64.1","258.8","127.8","168","877","19","121"
"22","66.7","268.8","127.8","168","877","19","121"
"23","69.8","281.3","125.6","177","907","20","122"
"24","72.9","293.9","125.2","178","913","21","121"
"25","76.0","306.2","125.5","177","909","20","120"
"26","79.1","318.3","125.7","176","906","19","120"
"27","82.2","330.5","127.9","167","875","19","122"
"28","85.3","342.8","126.4","173","896","20","126"
"29","88.3","354.9","127.3","170","883","20","128"
"30","91.4","367.1","128.4","165","869","20","129"
"31","94.0","377.0","128.4","165","869","20","130"
"32","97.1","389.3","127.3","170","883","20","128"
"33","100.2","401.6","126.4","173","896","21","126"
"34","103.3","413.9","126.5","173","895","20","126"
"35","105.8","423.9","126.5","173","895","20","124"
"36","108.9","436.3","125.9","175","903","20","125"
"37","112.0","448.4","126.8","172","890","20","126"
"38","115.1","460.6","127.6","168","879","20","127"
"39","118.2","472.7","128.1","167","873","20","128"
"40","120.7","482.5","128.1","167","873","20","127"
"41","123.8","494.6","128.3","166","870","20","126"
"42","126.9","506.8","127.8","168","877","20","128"
"43","130.0","519.0","127.6","168","879","20","131"
"44","133.1","531.3","127.5","169","881","20","133"
"45","136.2","543.6","127.4","169","882","20","134"
"46","139.3","555.7","127.1","170","886","20","134"
"47","141.8","565.6","127.1","170","886","20","134"
"48","144.9","577.9","127.0","171","888","20","135"
"49","148.0","590.0","127.3","170","883","20","135"
"50","151.1","602.1","128.1","167","873","20","136"
"51","154.2","614.2","128.3","166","870","20","136"
"52","157.3","626.4","127.9","167","875","19","136"
"53","160.4","638.5","127.7","168","878","20","135"
"54","163.5","650.8","126.9","171","889","20","134"
"55","166.0","660.8","126.9","171","889","20","133"
"56","169.1","673.1","126.3","174","897","20","131"
"57","172.2","685.4","126.9","171","889","20","127"
"58","175.3","697.6","127.4","169","882","20","124"
"59","178.4","709.7","126.8","172","890","20","127"
"60","181.0","719.7","126.8","172","890","20","129"
"61","184.0","731.8","127.4","169","882","20","131"
"62","187.1","743.9","128.2","166","871","20","132"
"63","190.2","756.2","127.8","168","877","20","132"
"64","193.3","768.4","127.9","167","875","20","130"
"65","195.9","778.3","127.9","167","875","20","129"
"66","198.9","790.7","126.4","173","896","20","127"
"67","202.0","802.8","126.4","173","896","20","126"
"68","205.1","814.9","127.8","168","877","20","127"
