"Number","Time (seconds)","Distance (meters)","Pace (seconds)","Watts","Cal/Hr","Stroke Rate","Heart Rate"
"1","3.5","14.8","116.8","220","1055","22","80"
"2","6.5","27.2","124.4","182","925","19","80"
"3","9.6","39.6","126.2","174","899","20","85"
"4","12.7","52.0","124.6","181","922","20","96"
"5","15.8","64.3","125.3","178","912","20","103"
"6","18.9","76.7","125.0","179","916","19","107"
"7","22.0","89.1","125.6","177","907","19","107"
"8","25.0","101.5","124.3","182","927","20","106"
"9","27.6","111.7","124.3","182","927","20","106"
"10","30.7","124.2","124.1","183","930","20","108"
"11","33.8","136.8","124.1","183","930","21","111"
"12","36.9","149.3","124.3","182","927","20","114"
"13","39.4","159.3","124.3","182","927","20","115"
"14","42.5","171.7","125.2","178","913","20","117"
"15","45.6","184.0","125.7","176","906","20","117"
"16","48.7","196.3","126.4","173","896","20","116"
"17","51.8","208.6","126.4","173","896","20","117"
"18","54.9","220.9","125.8","176","905","20","119"
"19","57.9","233.1","127.0","171","888","19","123"
"20","60.5","243.0","127.0","171","888","19","123"
"21","63.6","255.3","126.5","173","895","20","124"
"22","66.7","267.7","126.3","174","897","20","124"
"23","69.8","280.1","125.8","176","905","20","125"
"24","72.9","292.3","126.9","171","889","20","125"
"25","76.0","304.6","127.2","170","885","20","126"
"26","78.5","314.5","127.2","170","885","20","126"
"27","81.6","326.8","126.5","173","895","20","127"
"28","84.7","339.0","125.9","175","903","20","128"
"29","87.8","351.3","127.2","170","885","20","128"
"30","90.9","363.6","126.2","174","899","20","128"
"31","94.0","375.9","126.3","174","897","20","128"
"32","96.5","385.9","126.3","174","897","20","128"
"33","99.6","398.2","126.2","174","899","20","128"
"34","102.7","410.6","126.3","174","897","20","130"
"35","105.8","422.9","126.0","175","902","20","130"
"36","108.9","435.1","126.4","173","896","20","130"
"37","112.0","447.4","126.2","174","899","20","130"
"38","115.0","459.6","126.5","173","895","20","130"
"39","118.1","471.8","126.6","172","893","19","130"
"40","121.2","484.2","126.5","173","895","20","131"
"41","124.3","496.4","126.9","171","889","20","132"
"42","127.4","508.6","126.9","171","889","19","132"
"43","130.5","520.8","127.0","171","888","19","133"
"44","133.6","533.1","126.0","175","902","20","133"
"45","136.1","543.1","126.0","175","902","20","133"
"46","139.2","555.3","125.9","175","903","20","131"
"47","142.3","567.5","126.8","172","890","20","131"
"48","145.4","580.0","127.1","170","886","20","131"
"49","148.5","592.4","125.6","177","907","20","131"
"50","151.1","602.4","125.6","177","907","20","132"
"51","154.2","614.8","125.8","176","905","20","133"
"52","157.3","627.0","126.2","174","899","20","135"
"53","160.3","639.3","127.3","170","883","20","134"
"54","163.5","651.8","125.1","179","915","20","133"
"55","166.5","664.1","125.8","176","905","20","133"
"56","169.1","674.1","125.8","176","905","20","133"
"57","172.2","686.3","126.0","175","902","20","134"
"58","175.3","698.5","126.3","174","897","20","135"
"59","178.3","710.8","126.8","172","890","20","135"
"60","181.4","723.2","126.1","175","900","20","135"
"61","184.5","735.6","125.9","175","903","20","136"
"62","187.6","748.0","126.4","173","896","20","135"
"63","190.7","760.3","125.8","176","905","20","134"
"64","193.8","772.5","126.3","174","897","20","133"
"65","196.9","784.7","126.9","171","889","20","134"
"66","199.5","794.7","126.9","171","889","20","134"
"67","202.6","807.1","125.9","175","903","19","135"
"68","205.6","819.4","126.0","175","902","20","137"
"69","208.7","831.7","126.0","175","902","20","138"
"70","211.8","844.0","126.8","172","890","20","138"
"71","214.9","856.2","126.7","172","892","20","137"
"72","218.0","868.4","126.7","172","892","20","137"
"73","221.1","880.6","127.1","170","886","20","135"
"74","224.2","893.0","126.3","174","897","20","136"
"75","227.2","905.1","126.3","174","897","20","136"
"76","230.3","917.2","127.0","171","888","19","137"
"77","233.4","929.6","127.0","171","888","19","137"
"78","236.5","942.0","125.2","178","913","20","137"
"79","239.6","954.3","126.4","173","896","20","137"
"80","242.7","966.7","125.9","175","903","20","136"
"81","245.8","978.8","127.3","170","883","19","137"
"82","248.3","988.8","127.3","170","883","19","137"
"83","251.4","1001.1","126.6","172","893","20","137"
"84","254.5","1013.5","125.6","177","907","20","136"
"85","257.6","1025.8","125.8","176","905","20","133"
"86","260.7","1038.0","126.2","174","899","20","132"
"87","263.8","1050.3","126.3","174","897","20","133"
"88","266.9","1062.7","125.8","176","905","20","136"
"89","270.0","1074.9","126.7","172","892","19","138"
"90","273.1","1087.3","126.4","173","896","20","138"
"91","275.6","1097.3","126.4","173","896","20","137"
"92","278.7","1109.7","125.4","177","910","20","138"
"93","281.8","1122.0","125.6","177","907","20","138"
"94","284.9","1134.2","126.0","175","902","19","137"
"95","288.0","1146.4","126.4","173","896","20","137"
"96","291.0","1158.6","126.3","174","897","20","138"
"97","294.1","1170.9","126.7","172","892","20","138"
"98","297.2","1183.4","125.6","177","907","20","138"
"99","299.8","1193.4","125.6","177","907","20","137"
"100","302.9","1205.9","125.4","177","910","20","135"
"101","306.0","1218.2","126.2","174","899","20","135"
"102","309.1","1230.5","126.0","175","902","20","135"
"103","312.2","1243.0","125.7","176","906","20","137"
"104","314.7","1252.9","125.7","176","906","20","138"
"105","317.8","1265.2","125.8","176","905","20","139"
"106","320.9","1277.5","126.6","172","893","20","138"
"107","324.0","1289.8","126.1","175","900","20","139"
"108","327.0","1302.2","126.1","175","900","20","139"
"109","330.2","1314.7","125.2","178","913","20","141"
"110","333.3","1327.0","125.4","177","910","19","141"
"111","336.3","1339.4","125.4","177","910","20","140"
"112","339.4","1351.7","125.7","176","906","20","140"
"113","342.0","1361.8","125.7","176","906","20","140"
"114","345.1","1374.1","124.6","181","922","20","142"
"115","348.2","1386.3","126.0","175","902","20","142"
"116","351.2","1398.6","126.3","174","897","19","142"
"117","354.3","1410.8","126.2","174","899","20","141"
"118","357.4","1423.1","126.1","175","900","20","141"
"119","360.5","1435.3","126.9","171","889","20","141"
"120","363.6","1447.6","126.5","173","895","20","141"
"121","366.6","1459.8","126.3","174","897","20","140"
"122","369.7","1472.2","126.5","173","895","20","139"
"123","372.8","1484.4","126.8","172","890","20","140"
"124","375.4","1494.4","126.8","172","890","20","140"
"125","378.5","1506.6","126.1","175","900","20","140"
"126","381.6","1518.9","127.0","171","888","20","140"
"127","384.6","1531.1","127.0","171","888","20","141"
"128","387.7","1543.3","126.2","174","899","20","141"
"129","390.8","1555.6","126.6","172","893","20","140"
"130","393.9","1567.7","126.5","173","895","20","140"
"131","397.0","1580.1","126.8","172","890","20","142"
"132","400.0","1592.5","126.1","175","900","20","142"
"133","403.1","1604.7","126.4","173","896","20","142"
"134","405.7","1614.6","126.4","173","896","20","142"
"135","408.8","1626.9","126.9","171","889","20","143"
"136","411.9","1639.3","126.0","175","902","20","143"
"137","415.0","1651.5","126.6","172","893","20","143"
"138","418.0","1663.7","126.7","172","892","19","142"
"139","421.1","1675.9","126.3","174","897","20","141"
"140","424.2","1688.2","126.4","173","896","20","140"
"141","427.3","1700.4","126.7","172","892","20","140"
"142","430.4","1712.6","126.8","172","890","20","139"
"143","433.5","1725.0","126.4","173","896","20","138"
"144","436.0","1734.9","126.4","173","896","20","138"
