"Number","Time (seconds)","Distance (meters)","Pace (seconds)","Watts","Cal/Hr","Stroke Rate","Heart Rate"
"1","3.3","13.8","125.0","179","916","0","80"
"2","6.3","26.3","116.9","219","1054","22","81"
"3","9.4","38.7","123.9","184","933","19","78"
"4","12.5","51.5","123.5","186","939","21","72"
"5","15.1","61.8","123.5","186","939","21","70"
"6","18.2","74.4","122.2","192","960","21","62"
"7","21.3","87.0","124.2","183","928","20","60"
"8","24.3","99.5","124.9","180","918","20","65"
"9","26.9","109.6","124.9","180","918","20","70"
"10","30.0","121.9","124.7","180","921","20","72"
"11","33.0","134.3","125.5","177","909","20","72"
"12","36.2","146.9","124.7","180","921","20","72"
"13","39.2","159.2","124.5","181","924","21","72"
"14","42.3","171.6","125.5","177","909","20","75"
"15","45.4","184.0","125.5","177","909","20","77"
"16","48.5","196.3","124.6","181","922","20","81"
"17","51.6","208.8","124.7","180","921","20","85"
"18","54.2","218.8","124.7","180","921","20","121"
"19","57.8","233.6","125.6","177","907","19","128"
"20","60.8","245.8","125.2","178","913","19","129"
"21","63.9","258.3","124.3","182","927","20","129"
"22","66.5","268.5","124.3","182","927","20","129"
"23","69.6","281.0","123.7","185","936","20","131"
"24","72.7","293.4","126.1","175","900","21","132"
"25","75.2","303.5","126.1","175","900","21","132"
"26","78.3","315.9","125.1","179","915","21","133"
"27","81.4","328.3","125.1","179","915","20","133"
"28","84.0","338.4","125.9","175","903","20","134"
"29","87.1","350.8","125.4","177","910","21","134"
"30","90.2","363.2","125.7","176","906","20","132"
"31","93.3","375.5","125.7","176","906","20","133"
"32","96.4","387.9","126.3","174","897","20","134"
"33","99.4","400.4","124.4","182","925","20","135"
"34","102.0","410.5","124.4","182","925","20","136"
"35","105.1","422.8","124.7","180","921","20","137"
"36","108.2","435.1","126.6","172","893","20","138"
"37","111.3","447.7","124.6","181","922","21","139"
"38","114.4","460.2","124.7","180","921","20","139"
"39","116.9","470.2","124.7","180","921","20","139"
"40","120.0","482.6","125.5","177","909","20","140"
"41","123.1","495.1","125.9","175","903","20","140"
"42","126.2","507.6","125.2","178","913","20","140"
"43","129.3","519.8","125.6","177","907","20","141"
"44","132.4","532.1","126.9","171","889","20","142"
"45","135.0","542.2","126.9","171","889","20","140"
"46","138.0","554.4","125.6","177","907","20","139"
"47","141.1","566.9","125.7","176","906","20","140"
"48","144.2","579.4","124.9","180","918","21","139"
"49","147.3","591.7","125.7","176","906","20","137"
"50","149.8","601.7","125.7","176","906","20","137"
"51","152.9","614.1","126.1","175","900","20","136"
"52","156.0","626.4","125.9","175","903","20","137"
"53","158.6","636.6","125.3","178","912","20","136"
"54","161.6","648.8","125.3","178","912","21","136"
"55","164.7","661.2","126.2","174","899","20","135"
