"Number","Time (seconds)","Distance (meters)","Pace (seconds)","Watts","Cal/Hr","Stroke Rate","Heart Rate"
"1","3.6","15.1","119.0","208","1014","21","95"
"2","6.7","27.2","119.0","208","1014","21","97"
"3","9.7","39.3","127.0","171","888","19","101"
"4","12.8","51.6","126.4","173","896","20","106"
"5","15.9","63.8","125.7","176","906","19","111"
"6","19.0","76.1","126.5","173","895","20","114"
"7","22.0","88.3","126.9","171","889","20","116"
"8","25.1","100.4","127.1","170","886","19","117"
"9","28.2","112.6","126.9","171","889","20","117"
"10","31.3","124.9","126.3","174","897","20","118"
"11","33.9","134.8","126.3","174","897","20","119"
"12","37.0","147.0","126.8","172","890","20","120"
"13","40.0","159.2","127.3","170","883","20","121"
"14","43.1","171.2","128.0","167","874","20","122"
"15","46.2","183.7","127.9","167","875","20","124"
"16","49.3","196.0","125.4","177","910","20","125"
"17","52.4","208.2","127.2","170","885","20","126"
"18","55.5","220.4","126.4","173","896","20","127"
"19","58.5","232.6","126.5","173","895","20","128"
"20","61.1","242.7","126.5","173","895","20","129"
"21","64.2","254.8","125.9","175","903","20","131"
"22","67.3","267.0","126.8","172","890","20","132"
"23","70.4","279.1","127.9","167","875","19","132"
"24","73.5","291.2","127.7","168","878","20","132"
"25","76.5","303.4","128.4","165","869","19","133"
"26","79.6","315.6","127.3","170","883","20","133"
"27","82.8","328.0","127.5","169","881","20","134"
"28","85.8","340.1","127.4","169","882","20","135"
"29","88.9","352.3","127.0","171","888","20","135"
"30","92.0","364.5","127.3","170","883","19","136"
"31","95.1","376.6","127.7","168","878","19","136"
"32","98.1","388.7","127.3","170","883","20","136"
"33","100.7","398.7","127.3","170","883","20","137"
"34","103.8","411.0","126.1","175","900","20","137"
"35","106.9","423.0","126.6","172","893","20","138"
"36","110.0","435.3","127.7","168","878","20","138"
"37","113.1","447.8","126.7","172","892","20","136"
"38","116.2","460.1","126.2","174","899","20","136"
"39","118.7","470.1","126.2","174","899","20","135"
"40","121.8","482.2","126.5","173","895","20","135"
"41","124.9","494.3","127.1","170","886","20","134"
"42","128.0","506.7","127.9","167","875","20","136"
"43","131.1","518.9","127.5","169","881","20","138"
"44","134.2","531.0","127.2","170","885","19","138"
"45","137.3","543.2","127.2","170","885","20","139"
"46","140.3","555.4","127.6","168","879","19","139"
"47","143.4","567.5","127.2","170","885","20","138"
"48","146.0","577.4","127.2","170","885","20","138"
"49","149.1","589.5","126.7","172","892","20","136"
"50","152.1","601.6","127.9","167","875","20","135"
"51","155.2","613.8","127.4","169","882","20","137"
"52","158.3","626.0","127.2","170","885","20","140"
"53","161.4","638.0","127.6","168","879","20","139"
"54","164.5","650.2","128.4","165","869","19","138"
"55","167.6","662.5","127.6","168","879","20","139"
"56","170.7","674.6","127.8","168","877","20","138"
"57","173.8","686.9","127.1","170","886","20","138"
"58","176.3","696.8","127.1","170","886","20","137"
"59","179.4","709.0","127.0","171","888","20","136"
"60","182.5","721.1","127.3","170","883","20","136"
"61","185.6","733.3","127.9","167","875","19","137"
"62","188.7","745.5","126.8","172","890","19","138"
"63","191.8","757.7","127.6","168","879","19","139"
