"Number","Time (seconds)","Distance (meters)","Pace (seconds)","Watts","Cal/Hr","Stroke Rate","Heart Rate"
"1","3.5","14.1","123.5","186","939","22","84"
"2","6.6","26.2","128.4","165","869","20","91"
"3","9.7","38.1","130.2","159","845","19","96"
"4","12.8","50.3","127.6","168","879","20","99"
"5","15.3","60.0","127.6","168","879","20","102"
"6","18.4","71.9","129.8","160","850","20","107"
"7","21.5","84.0","129.5","161","854","20","109"
"8","24.6","96.0","129.2","162","858","20","111"
"9","27.7","107.9","129.0","163","861","20","111"
"10","30.8","120.1","130.1","159","847","20","113"
"11","33.9","132.3","127.7","168","878","20","114"
"12","36.4","142.2","127.7","168","878","20","115"
"13","39.5","154.3","128.3","166","870","20","118"
"14","42.6","166.3","128.5","165","867","20","120"
"15","45.7","178.3","129.1","163","859","20","121"
"16","48.8","190.3","128.8","164","863","20","122"
"17","51.9","202.4","128.6","165","866","20","122"
"18","55.0","214.3","129.2","162","858","19","122"
"19","58.1","226.4","129.5","161","854","20","124"
"20","61.1","238.5","128.9","163","862","20","126"
"21","64.2","250.7","127.9","167","875","20","129"
"22","67.3","262.7","128.3","166","870","19","130"
"23","69.9","272.5","128.3","166","870","19","130"
"24","73.0","284.7","128.0","167","874","20","129"
"25","76.1","296.7","128.6","165","866","20","129"
"26","79.1","308.8","129.4","162","855","20","131"
"27","81.7","318.6","129.4","162","855","20","131"
"28","84.8","330.8","128.5","165","867","21","132"
"29","87.9","343.1","128.0","167","874","20","133"
"30","91.0","355.2","129.2","162","858","20","134"
"31","94.1","367.1","129.9","160","849","20","133"
"32","96.7","376.8","129.9","160","849","20","133"
"33","99.7","388.8","129.7","160","852","20","132"
"34","102.8","400.9","128.9","163","862","20","130"
"35","105.9","412.8","128.8","164","863","19","130"
"36","109.0","424.7","129.8","160","850","20","131"
"37","112.1","436.7","130.0","159","848","20","131"
"38","115.2","448.7","129.2","162","858","20","132"
"39","118.2","460.7","130.1","159","847","20","134"
"40","120.8","470.4","130.1","159","847","20","135"
"41","123.9","482.4","130.7","157","839","20","135"
"42","127.0","494.5","128.8","164","863","20","134"
"43","130.1","506.5","129.1","163","859","20","134"
"44","133.2","518.5","129.7","160","852","20","135"
"45","136.3","530.4","130.0","159","848","20","136"
"46","139.4","542.5","128.7","164","865","20","137"
"47","141.9","552.3","128.7","164","865","20","136"
"48","145.0","564.3","128.6","165","866","20","135"
"49","148.1","576.4","129.2","162","858","20","136"
"50","151.2","588.5","129.1","163","859","20","137"
"51","154.3","600.4","130.0","159","848","20","138"
"52","156.8","610.0","130.0","159","848","20","139"
"53","159.9","622.1","130.2","159","845","20","138"
"54","163.0","634.0","129.0","163","861","20","137"
"55","166.1","645.9","129.8","160","850","20","137"
"56","169.2","657.9","129.9","160","849","20","138"
"57","172.3","670.0","128.6","165","866","20","138"
"58","174.8","679.7","128.6","165","866","20","137"
"59","177.9","691.7","129.8","160","850","20","136"
"60","181.0","703.7","129.6","161","853","20","136"
"61","184.1","715.7","129.8","160","850","20","137"
"62","187.2","727.7","130.1","159","847","20","139"
"63","189.8","737.3","130.1","159","847","20","140"
"64","192.9","749.3","130.2","159","845","20","140"
"65","196.0","761.3","130.0","159","848","20","140"
"66","199.0","773.2","129.8","160","850","20","140"
"67","202.1","785.3","129.4","162","855","20","140"
"68","205.2","797.3","129.2","162","858","20","140"
"69","207.8","807.0","129.2","162","858","20","139"
"70","210.9","819.0","129.8","160","850","20","139"
"71","214.0","831.0","129.8","160","850","20","140"
"72","217.0","843.0","129.4","162","855","20","140"
"73","219.6","852.9","129.4","162","855","20","140"
"74","222.7","864.8","129.3","162","857","21","139"
"75","225.8","876.8","130.5","157","841","20","139"
"76","228.9","888.9","129.7","160","852","20","140"
"77","231.5","898.6","129.7","160","852","20","140"
"78","234.5","910.6","129.8","160","850","20","141"
"79","237.6","922.6","129.0","163","861","20","141"
"80","240.7","934.6","130.3","158","844","20","141"
"81","243.3","944.3","130.3","158","844","20","142"
"82","246.4","956.3","130.0","159","848","20","142"
"83","249.5","968.3","129.2","162","858","20","141"
"84","252.5","980.3","129.6","161","853","20","141"
"85","255.6","992.5","128.2","166","871","20","142"
"86","258.7","1004.6","129.1","163","859","20","142"
"87","261.3","1014.2","129.1","163","859","20","142"
"88","264.4","1026.4","129.4","162","855","20","142"
"89","267.5","1038.6","128.2","166","871","21","142"
"90","270.6","1050.5","129.9","160","849","20","143"
"91","273.1","1060.2","129.9","160","849","20","142"
"92","276.2","1072.3","129.1","163","859","20","142"
"93","279.3","1084.5","129.1","163","859","20","143"
"94","282.4","1096.5","129.2","162","858","20","144"
"95","285.5","1108.5","130.5","157","841","20","144"
"96","288.1","1118.1","130.5","157","841","20","143"
"97","291.1","1130.1","129.8","160","850","20","144"
"98","294.2","1142.0","130.0","159","848","19","144"
"99","297.3","1154.0","129.8","160","850","20","144"
"100","300.4","1166.0","129.0","163","861","20","144"
"101","303.5","1177.9","129.5","161","854","20","144"
"102","306.6","1189.9","129.7","160","852","20","144"
"103","309.7","1202.1","129.5","161","854","19","144"
"104","312.8","1214.1","129.5","161","854","20","144"
"105","315.8","1226.0","129.4","162","855","20","143"
"106","318.9","1237.9","130.1","159","847","20","143"
"107","322.0","1249.9","130.0","159","848","20","143"
"108","324.6","1259.5","130.0","159","848","20","142"
"109","327.7","1271.5","129.2","162","858","20","143"
"110","330.7","1283.5","130.0","159","848","20","143"
"111","333.8","1295.6","129.3","162","857","20","143"
"112","336.9","1307.6","129.0","163","861","20","144"
"113","340.0","1319.8","128.1","167","873","20","144"
"114","342.6","1329.6","128.1","167","873","20","144"
"115","345.7","1341.5","128.6","165","866","20","145"
"116","348.7","1353.4","130.3","158","844","20","145"
"117","351.8","1365.4","129.8","160","850","20","145"
"118","354.9","1377.2","129.9","160","849","20","145"
"119","358.0","1389.1","130.7","157","839","20","144"
"120","361.1","1401.1","129.6","161","853","20","144"
"121","364.2","1413.1","129.8","160","850","20","144"
"122","367.3","1425.0","130.4","158","843","20","144"
"123","370.3","1437.0","129.7","160","852","20","144"
"124","373.4","1448.9","129.6","161","853","19","143"
"125","376.5","1460.9","129.3","162","857","20","143"
"126","379.6","1472.9","129.0","163","861","20","143"
"127","382.7","1484.9","129.1","163","859","19","144"
"128","385.3","1494.7","129.1","163","859","19","145"
"129","388.4","1506.6","129.2","162","858","20","146"
"130","391.4","1518.4","130.5","157","841","19","147"
"131","394.5","1530.3","130.6","157","840","20","147"
"132","397.6","1542.2","130.2","159","845","20","146"
"133","400.7","1554.1","130.2","159","845","19","145"
"134","403.8","1566.0","130.6","157","840","20","145"
"135","406.9","1577.9","130.7","157","839","20","145"
"136","410.0","1589.9","131.0","156","835","20","144"
"137","413.1","1601.8","130.4","158","843","20","144"
"138","416.2","1613.6","129.7","160","852","20","143"
"139","419.3","1625.6","130.4","158","843","20","142"
"140","422.3","1637.5","130.1","159","847","20","143"
"141","425.4","1649.5","129.8","160","850","20","143"
"142","428.0","1659.2","129.8","160","850","20","144"
"143","431.1","1671.1","129.9","160","849","20","144"
"144","434.2","1683.1","129.6","161","853","20","144"
"145","437.3","1695.1","130.4","158","843","19","144"
"146","440.4","1707.2","129.7","160","852","20","142"
"147","443.5","1719.1","129.8","160","850","20","142"
"148","446.5","1730.9","130.5","157","841","20","142"
"149","449.1","1740.7","130.5","157","841","20","142"
"150","452.2","1752.7","130.0","159","848","20","144"
"151","455.3","1764.5","129.6","161","853","20","145"
"152","458.4","1776.3","130.5","157","841","19","145"
"153","461.5","1788.3","131.3","155","832","20","144"
"154","464.6","1800.2","130.6","157","840","20","144"
"155","467.7","1812.3","130.0","159","848","20","144"
"156","470.8","1824.1","131.1","155","834","20","144"
