"Number","Time (seconds)","Distance (meters)","Pace (seconds)","Watts","Cal/Hr","Stroke Rate","Heart Rate"
"1","3.6","14.4","138.6","131","752","0","89"
"2","6.7","26.7","125.8","176","905","20","93"
"3","9.3","36.6","125.8","176","905","20","94"
"4","12.4","48.8","126.7","172","892","20","98"
"5","15.5","61.1","127.6","168","879","20","103"
"6","18.6","73.5","127.0","171","888","20","108"
"7","21.6","85.8","125.6","177","907","20","111"
"8","24.7","98.0","126.9","171","889","19","113"
"9","27.8","110.1","126.9","171","889","19","115"
"10","30.9","122.5","125.5","177","909","20","116"
"11","34.0","135.0","124.8","180","919","20","118"
"12","37.1","147.3","125.2","178","913","19","119"
"13","40.2","159.7","125.3","178","912","20","120"
"14","43.3","172.2","124.6","181","922","19","121"
"15","45.8","182.2","124.6","181","922","19","123"
"16","48.9","194.7","125.4","177","910","20","125"
"17","52.0","207.1","124.6","181","922","20","126"
"18","55.1","219.3","125.2","178","913","20","126"
"19","58.7","234.1","125.3","178","912","19","128"
"20","61.3","244.2","125.3","178","912","19","129"
"21","64.4","256.9","124.4","182","925","20","130"
"22","67.5","269.5","123.9","184","933","21","130"
"23","70.0","279.6","123.9","184","933","21","130"
"24","73.1","291.9","124.9","180","918","20","129"
"25","76.2","304.2","126.0","175","902","20","128"
"26","79.3","316.6","125.7","176","906","20","128"
"27","82.4","328.8","125.4","177","910","20","130"
"28","85.4","341.2","126.0","175","902","20","132"
"29","88.5","353.3","126.4","173","896","20","134"
"30","91.6","365.6","126.7","172","892","19","134"
"31","94.7","377.9","126.3","174","897","19","135"
"32","97.8","390.2","125.7","176","906","20","136"
"33","100.9","402.3","126.1","175","900","19","135"
"34","103.9","414.5","127.0","171","888","19","135"
"35","107.0","426.8","125.9","175","903","19","135"
"36","110.1","439.2","125.7","176","906","19","135"
"37","113.2","451.4","125.8","176","905","19","135"
"38","116.3","463.8","126.3","174","897","19","136"
"39","119.4","476.2","125.5","177","909","20","137"
"40","122.5","488.5","125.5","177","909","20","138"
"41","125.6","500.9","126.4","173","896","20","138"
"42","128.7","513.3","126.0","175","902","20","138"
"43","131.8","525.7","125.5","177","909","20","138"
"44","134.3","535.6","125.5","177","909","20","138"
"45","137.4","548.1","125.4","177","910","20","137"
"46","140.5","560.4","125.6","177","907","20","138"
"47","143.6","572.7","125.5","177","909","20","137"
"48","146.7","585.1","125.6","177","907","20","137"
"49","149.8","597.5","126.3","174","897","20","137"
"50","152.8","609.7","126.3","174","897","20","138"
"51","155.9","622.0","126.2","174","899","20","139"
"52","159.0","634.3","125.8","176","905","20","139"
"53","162.1","646.6","126.6","172","893","20","139"
"54","164.7","656.5","126.6","172","893","20","139"
"55","167.7","668.8","126.4","173","896","20","140"
"56","170.8","681.0","125.9","175","903","20","140"
"57","173.9","693.2","126.0","175","902","20","139"
"58","177.0","705.5","127.2","170","885","19","139"
"59","180.0","717.8","126.2","174","899","20","138"
"60","183.1","729.9","126.0","175","902","20","136"
"61","186.2","742.0","127.5","169","881","19","137"
"62","189.3","754.3","128.0","167","874","19","137"
"63","192.4","766.7","126.5","173","895","20","137"
"64","195.5","779.0","125.9","175","903","20","137"
"65","198.6","791.2","126.9","171","889","19","138"
"66","201.7","803.5","126.8","172","890","20","140"
"67","204.8","815.6","127.3","170","883","20","140"
"68","207.3","825.5","127.3","170","883","20","141"
"69","210.4","837.9","127.2","170","885","20","141"
"70","213.5","850.2","125.3","178","912","20","142"
"71","216.6","862.6","125.4","177","910","21","142"
"72","219.7","874.9","126.0","175","902","20","141"
"73","222.8","887.3","125.8","176","905","20","141"
"74","225.8","899.4","127.0","171","888","20","140"
"75","228.9","911.6","127.1","170","886","19","141"
"76","232.0","923.9","126.9","171","889","19","142"
"77","235.1","936.1","125.8","176","905","20","142"
"78","238.2","948.4","126.8","172","890","20","142"
"79","240.8","958.3","126.8","172","890","20","141"
"80","243.9","970.7","126.3","174","897","20","142"
"81","246.9","983.0","125.6","177","907","20","142"
"82","250.0","995.3","125.8","176","905","20","141"
"83","253.1","1007.6","125.8","176","905","20","142"
"84","256.2","1019.9","126.9","171","889","19","141"
